Feature,Gain,Cover,Frequency
tfidf_text_thanks,0.14325498229524655,0.024227167332407797,0.02973168963016679
tfidf_text_thank,0.13878060852463628,0.024322512908520895,0.024612890841615834
tfidf_text_great,0.05503377592599461,0.013801692729895782,0.01702000597193192
tfidf_text_hours,0.03777539597612836,0.02051681175673449,0.018129079042784626
tfidf_text_love,0.028628192432101702,0.015761748105408962,0.014673889860512733
tfidf_text_flight,0.02612771586765583,0.013555645600510235,0.03374141534786503
tfidf_text_can,0.026010564296901403,0.015772660858322754,0.022224118073625388
tfidf_text_hold,0.025392578885824038,0.01498880615972806,0.013180906880518706
tfidf_text_delayed,0.021594465786790838,0.017031493519189964,0.014204666638228896
tfidf_text_cancelled,0.021513803913455132,0.01892862625909397,0.019536748709636138
tfidf_text_hour,0.02030615050448129,0.015057752157072049,0.01305293691080493
tfidf_text_worst,0.01904893871681363,0.01218523337054672,0.00853133131425159
tfidf_text_customer,0.016882424988473855,0.016173451881615005,0.015527022991937893
tfidf_text_call,0.015077366311276767,0.015284896839446204,0.013564816789660027
tfidf_text_now,0.014156476729057338,0.013394326048328574,0.01578296293136544
tfidf_text_bag,0.012381321937529808,0.015428166870656308,0.01347950347651751
tfidf_text_hrs,0.012306829956154241,0.013783397417378877,0.009640404385104296
tfidf_text_service,0.01216211477495034,0.01106964038416489,0.012327773749093546
tfidf_text_never,0.011374575220418357,0.016060332932800424,0.013863413385658833
tfidf_text_good,0.011262402234443932,0.011288792434693893,0.013095593567376189
tfidf_text_really,0.01078638743207044,0.01840218973141703,0.016721409375933114
tfidf_text_still,0.010614571050242385,0.013201465859158367,0.011389327304525871
tfidf_text_delay,0.010478820144251827,0.013836857568116735,0.010920104082242034
tfidf_text_waiting,0.010450455410855427,0.011334817146372668,0.008872584566821653
tfidf_text_luggage,0.009552657263629439,0.012760559893016733,0.009043211193106684
tfidf_text_airline,0.008917985250237922,0.011984133778736828,0.01185855052680971
tfidf_text_days,0.008470125145918269,0.012750081926740927,0.009640404385104296
tfidf_text_plane,0.00846629801971587,0.011661220484601803,0.01079213411252826
tfidf_text_bags,0.008005037162433278,0.012439869494530874,0.009939000981103101
tfidf_text_flights,0.00796331733593102,0.011153771598615322,0.013394190163374994
tfidf_text_lost,0.00789801875923341,0.01153330801835464,0.008403361344537815
tfidf_text_told,0.007644164066923536,0.010912124235816428,0.00848867465768033
tfidf_text_people,0.007571935984279845,0.014579487834535835,0.011773237213667192
tfidf_text_tomorrow,0.0074061716089627435,0.008416420535546263,0.010450880859958196
tfidf_text_crew,0.007268826758870536,0.011574085912902035,0.011304013991383356
tfidf_text_need,0.007257472397683936,0.011587643617863581,0.01471654651708399
tfidf_text_phone,0.006877274390300122,0.011298224562840489,0.009299151132534232
tfidf_text_dm,0.006702827170525124,0.0064077934212250194,0.006355841829117434
tfidf_text_wait,0.0061542273084435085,0.011041684778441365,0.00934180778910549
tfidf_text_going,0.005830025304511969,0.013394348571059821,0.013223563537089963
tfidf_text_agent,0.0057511968819827725,0.011686355852673523,0.009725717698246811
tfidf_text_late,0.005717036667454278,0.01010654195631261,0.009213837819391717
tfidf_text_guys,0.005689971994715786,0.009869311007336512,0.010066970950816875
tfidf_text_minutes,0.005644783264344388,0.008598687207036874,0.006526468455402465
tfidf_text_much,0.005637834664276256,0.006092958932863397,0.007294288273685109
tfidf_text_gate,0.005422561305928908,0.008257696972953121,0.007550228213112656
tfidf_text_min,0.005321614418451653,0.009203117015274827,0.006569125111973723
tfidf_text_get,0.005162239517498277,0.010481669796222615,0.01595358955765047
tfidf_text_time,0.004951777047728567,0.012629257266092295,0.012754340314806125
tfidf_text_even,0.0048598953022398386,0.011292693763445558,0.009213837819391717
tfidf_text_due,0.004720247534992434,0.010653610285061042,0.008659301283965363
tfidf_text_getting,0.004077050411194747,0.011938772998005248,0.010877447425670777
tfidf_text_help,0.004014653725959282,0.009614100064080965,0.014162009981657637
tfidf_text_flying,0.003989842574712421,0.009239468703507583,0.008957897879964169
tfidf_text_someone,0.0039478869773117925,0.010485654361154974,0.008872584566821653
tfidf_text_please,0.003907228119852195,0.008323392842253242,0.01079213411252826
tfidf_text_today,0.003854867471202589,0.010976722366780552,0.012583713688521094
tfidf_text_seat,0.003754038884264129,0.011339442140271792,0.008915241223392911
tfidf_text_trying,0.0036484969548063345,0.008445627621727776,0.007635541526255172
tfidf_text_day,0.0036463032062185163,0.009244533380290616,0.00853133131425159
tfidf_text_just,0.003409160229144189,0.008048515637622274,0.013436846819946252
tfidf_text_one,0.0033844594917335357,0.01025418041813546,0.009171181162820459
tfidf_text_flightled,0.00328734097572751,0.004490231095206157,0.0074649148999701405
tfidf_text_ever,0.0032576224275687317,0.00840772088578979,0.008744614597107878
tfidf_text_email,0.0031421123286762805,0.005934643717180257,0.0072089749605425925
tfidf_text_know,0.002991264406032319,0.006218707748037065,0.005929275263404855
tfidf_text_want,0.002922043855156468,0.009153648284213622,0.009427121102248005
tfidf_text_got,0.002723921584396644,0.008066380080497931,0.010493537516529454
tfidf_text_new,0.002684375374636128,0.00757206929119737,0.006867721707972529
tfidf_text_u,0.002619026572095731,0.008856134755430171,0.008275391374824042
tfidf_text_last,0.002547284351840316,0.007647776514536809,0.006398498485688691
tfidf_text_number,0.002470214248898252,0.007486559783519537,0.00767819818282643
tfidf_text_fly,0.002411128525935395,0.004812857469330078,0.006739751738258755
tfidf_text_home,0.002381617522581519,0.006885518177460489,0.008360704687966557
tfidf_text_change,0.0022580976470334695,0.00569182811010407,0.007422258243398883
tfidf_text_check,0.0019356450382624528,0.0063729179511381314,0.006867721707972529
tfidf_text_work,0.0018708954175738095,0.006322846492203771,0.006142558546261144
tfidf_text_w,0.0018342118733073115,0.006552206236233616,0.0048628588491234056
tfidf_text_us,0.0017762257227208272,0.008145847131081851,0.008147421405110267
tfidf_text_yes,0.0016528281948352682,0.007391020805692469,0.006953035021115045
tfidf_text_ticket,0.0016420682419699085,0.008401471317493322,0.007848824809111463
tfidf_text_aa,0.0015904897259175783,0.006294446796975005,0.006910378364543787
tfidf_text_like,0.0015851949466273109,0.007251685397706309,0.007720854839397688
tfidf_text_way,0.0015789650742185557,0.005818190424891925,0.005076142131979695
tfidf_text_united,0.0015712435772969671,0.007031792545169114,0.005971931919976112
tfidf_text_see,0.0014207825181693434,0.005579846559217464,0.005289425414835985
tfidf_text_another,0.001400991460663461,0.006054981690984115,0.005460052041121017
tfidf_text_make,0.001395604946569427,0.006951098495356821,0.005929275263404855
tfidf_text_weather,0.0012184125316599848,0.00548841895909217,0.00499082881883718
tfidf_text_amp,0.0011329418451946915,0.0061444630333549076,0.005374738727978501
tfidf_text_next,0.0011227985079446969,0.0053809639875616305,0.005289425414835985
tfidf_text_back,9.032676792419839e-4,0.00399920911429226,0.004948172162265922
tfidf_text_flighted,7.73160798562144e-4,0.003051661897929188,0.003967069061126989
tfidf_text_ua,7.715586564407e-4,0.0034127387361008754,0.0034978458388431515
tfidf_text_take,7.484610469893139e-4,0.004483886050114186,0.00435097897026831
tfidf_text_first,7.047191114528906e-4,0.003232929245626859,0.0037964424348419573
tfidf_text_go,5.843652281312251e-4,0.002907323995483218,0.0034125325257006356
tfidf_text_trip,5.810055447156663e-4,0.0036143752012762543,0.0031992492428443457
tfidf_text_two,4.4956254246806605e-4,0.002139915786944799,0.0026873693639892504
tfidf_text_airport,1.5812005911983607e-4,0.0010661311100649167,9.811031011389328e-4
